text,label,label_text,llama31_simple,llama31_advanced,llama31_conservative,mistral7b_simple,mistral7b_advanced,mistral7b_conservative
i feel so unloved without you next to me but when im with you,0,sadness,sadness,,sadness,sadness,sadness,sadness
i forced myself to keep going back even though they made me feel consistently uncomfortable but after a while i just gave up as i saw no point,4,fear,sadness,,sadness,sadness,sadness,sadness
i have a feeling hell be the kid up there shooting daggers out of his eyes annoyed that hes standing up there holding flowers,3,anger,anger,,anger,anger,anger,anger
i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,1,joy,love,,love,joy,anger,joy
i work myself like crazy doing extra stuff around the house or volunteering and serving other people in an attempt to feel productive and useful to someone anyone pleeeeeease,1,joy,sadness,,sadness,sadness,sadness,sadness
i feel a little hesitant to leave this time,4,fear,sadness,,sadness,fear,fear,sadness
i just feel tender,2,love,love,,love,love,joy,love
i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,2,love,sadness,,sadness,sadness,sadness,sadness
i just feel that if i end our marriage he deserves a truthful explanation,1,joy,anger,,sadness,sadness,sadness,sadness
i feel fake because i think if you really want to have a good conversation and make good contact you have to appear especially self confident and even risk talking to some people which are no good to talk to at all until you meet one person which you have a good connection to,0,sadness,sadness,,sadness,sadness,sadness,sadness
i have strong feelings about being faithful,2,love,love,,sadness,,love,love
i cant feel anything like they said why does everything always hurt so bad,0,sadness,sadness,,sadness,sadness,sadness,sadness
i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,0,sadness,anger,,anger,sadness,sadness,sadness
i can imagine most young people might feel resentful about the attention their sibling was getting while also feeling guilt at the same time,3,anger,sadness,,sadness,anger,sadness,
i just want that feeling of not caring about unnecessary stuff like i felt before,2,love,sadness,,sadness,sadness,sadness,sadness
i feel bothered by any of these things i open a door,3,anger,anger,,anger,anger,anger,anger
i feel like an indecisive idiot,4,fear,sadness,anger,anger,,sadness,anger
i vented my feelings towards the pathetic excuse of a communicat,0,sadness,anger,,anger,anger,anger,anger
im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,1,joy,joy,,joy,,sadness,joy
i got up saturday morning feeling like crud but determined not to let it get the best of me,1,joy,anger,,anger,sadness,sadness,sadness
i started out feeling discouraged this morning,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel empty after cheated in the name of friendship i was broken,0,sadness,sadness,,sadness,sadness,sadness,sadness
i suppose if one was feeling generous one could say i was stressed by the elevator ride,1,joy,anger,,anger,fear,fear,
i have come to understand that feelings are neither positive nor negative,1,joy,sadness,,sadness,,joy,
i believe that with our minds focused on the daily rat race our bodies simply forget how to feel vital and free a classic case of you lose what you dont use,1,joy,sadness,,sadness,,sadness,
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,3,anger,anger,,sadness,sadness,sadness,sadness
i kinda get real attached and excited when i feel that way and i never handle things as well as others would,1,joy,sadness,,joy,sadness,joy,joy
i feel sorta vain,0,sadness,sadness,,sadness,sadness,joy,
i feel a kind of dull grief over it,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel to aid other women with infertility disorders this valuable individual guidance is offered for a restricted number of people,1,joy,sadness,,sadness,,joy,
i was ambushed again it was apparently my fault again i feel worthless,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel the creative juices beginning to flow again,1,joy,joy,,joy,joy,joy,joy
im already feeling pretty festive this year even though its only november,1,joy,joy,,joy,joy,joy,joy
i was feeling homesick for the annual easter breakfast and service at church this morning at when we left to hike up mt precipice for the sunrise,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like i should be supporting them somehow but im not sure how,1,joy,sadness,,sadness,sadness,sadness,sadness
i don t always feel like i have amazing style and most days i choose comfort over anything else but there is one thing that i feel makes all the difference in how i feel about myself and that is makeup,1,joy,joy,,joy,joy,joy,joy
i wept while jackson slept feeling overwhelmed by the feeling that i don t want to die,4,fear,sadness,,sadness,sadness,sadness,sadness
i ate something wrong so i feel terrible all day,0,sadness,sadness,,sadness,,sadness,sadness
i like the fresh feeling of sweet he gave me,1,joy,joy,,joy,joy,joy,joy
i often use disney to cheer me up when im feeling low and these past couple days have been no exception,0,sadness,sadness,,joy,sadness,joy,joy
i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,1,joy,,,,love,love,love
i could have expected in every way and i was feeling a bit overwhelmed at that point how quickly life changed in the past weeks,4,fear,sadness,,sadness,sadness,sadness,sadness
i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel fine about feeling well fine,1,joy,joy,,joy,joy,joy,joy
i always feel stupid afterwards,0,sadness,sadness,,sadness,sadness,sadness,sadness
i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,1,joy,love,,love,love,love,love
i was having an awful year racing and was feeling exhausted all the time,0,sadness,sadness,,sadness,sadness,sadness,sadness
i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,3,anger,sadness,,sadness,sadness,sadness,sadness
im feeling a lot more optimistic about my future,1,joy,joy,,joy,joy,joy,joy
i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,3,anger,sadness,,sadness,anger,anger,anger
i am feeling irritated anxious which is often then i dont even like my kids touching me,3,anger,anger,,anger,anger,anger,anger
i was feeling fairly keen,1,joy,joy,joy,joy,joy,joy,joy
i am feeling a little apprehensive about the whole thing,4,fear,fear,fear,fear,fear,fear,fear
i feel really inspired,1,joy,joy,,joy,joy,joy,joy
i can cycle further than ever before and the feeling of finishing the manchester to blackpool miles then not being at all bothered at having to ride an extra mile to put,3,anger,joy,,joy,joy,joy,joy
i declined to purchase any this time i enjoyed feeling squishing and project thinking all the divine yarn,1,joy,joy,,joy,joy,joy,joy
i feel crappy i eat crappy,0,sadness,sadness,,sadness,sadness,sadness,sadness
i know she shes the only one who provides income to my family right now but it feels like shes putting it up in our face that shes supporting us,1,joy,anger,,anger,,anger,anger
i feel so disgusted when i see blood and feel like faiting and also when people eat raw meat in front of me,3,anger,,,,anger,fear,fear
i feel like they don t think it s sincere when it really is she told us exclusively,1,joy,sadness,,sadness,,fear,sadness
i decide that picking the easy route would get me nowhere and i feel like other people want me tortured so i follow the blue path,4,fear,anger,,anger,anger,sadness,anger
i will try and stay focused in order to avoid that feeling of a reluctant finish,4,fear,sadness,,sadness,sadness,sadness,
i still feel a little weird and uncertain,4,fear,sadness,,sadness,,fear,
i walked under the refuge feeling it was the perfect shelter from a storm,1,joy,sadness,,sadness,fear,joy,fear
i feel i was so innocent to have only one dream to fill my brain and to be crazy about it,1,joy,sadness,,sadness,sadness,joy,joy
i feel less alone,0,sadness,sadness,,sadness,joy,joy,joy
i feel that this is a highly talented bunch when roling on all cyclinders,1,joy,,,joy,joy,joy,joy
ive been doing hour weeks and ill get paid for the extra time but i am starting to feel a bit abused they are putting a lot of pressure on me to look after both kids and do all of the cooking and cleaning,0,sadness,anger,,anger,anger,anger,anger
i can feel that they are kind friendly and can understand my feelings,1,joy,love,,love,joy,joy,joy
i feel productive and active but i have the balance i need,1,joy,joy,,joy,joy,joy,joy
i feel so fearless in these post grieving days,1,joy,joy,,joy,fear,fear,fear
im not gonna lie i was kinda sad and down and feeling pretty lonely,0,sadness,sadness,,sadness,sadness,sadness,sadness
i set aside that feeling and happily helped them now that every thing was been normalized and the students had liked me they change my schedule and i am just forgotten to oblivion,2,love,sadness,,sadness,sadness,sadness,sadness
i never feel like anythings getting resolved with my counseling so i just drift away,1,joy,sadness,,sadness,sadness,sadness,sadness
i had just hiked up and down a long steep hillside loaded with grass and bushes so i was feeling pretty doubtful id be able to find it,4,fear,sadness,,sadness,fear,fear,fear
i feel like nine times out of as long as you re determined and keen it tends to work out anyway,1,joy,joy,,joy,joy,joy,joy
i realized that i would be sad to leave this plane so soon and that just because i am feeling unloved and rejected there is no need to transfer those feelings of sadness on to those of my children left behind who i know do love and appreciate me and their father,0,sadness,sadness,,sadness,sadness,sadness,sadness
i have a lot going on in my life and feel overwhelmed,4,fear,sadness,,sadness,sadness,sadness,sadness
